epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,4891.75,0.54214,0.78388,0.32532,0.87016,0.975,0.97926,0.98083,0.84437,0.97451,0.97748,0.97975,0.78747,0.6008,0.83137,0.32935,0.93546,0.000200938,0.000200938,0.000200938
30,5059.73,0.53247,0.77324,0.31899,0.86862,0.97685,0.97608,0.9829,0.85363,0.97566,0.97438,0.98125,0.79502,0.57492,0.83151,0.32663,0.92513,0.000198186,0.000198186,0.000198186
31,5227.84,0.53182,0.77074,0.31465,0.86765,0.96963,0.9779,0.98419,0.85313,0.96961,0.97787,0.9841,0.798,0.58616,0.83392,0.32753,0.93003,0.000195434,0.000195434,0.000195434
32,5396.21,0.52411,0.76451,0.31319,0.86356,0.97314,0.9771,0.98213,0.84514,0.97309,0.97704,0.98137,0.78968,0.59548,0.83722,0.32504,0.93222,0.000192682,0.000192682,0.000192682
33,5564.71,0.51984,0.76013,0.3068,0.86129,0.97403,0.97823,0.9836,0.85361,0.97287,0.97706,0.9829,0.7948,0.58425,0.85599,0.32388,0.93714,0.00018993,0.00018993,0.00018993
34,5733.08,0.52109,0.7589,0.30758,0.86211,0.95818,0.97342,0.98084,0.85231,0.95763,0.97285,0.97962,0.79322,0.58021,0.83943,0.34016,0.92382,0.000187177,0.000187177,0.000187177
35,5901.6,0.51382,0.75084,0.30016,0.85782,0.9653,0.97056,0.97624,0.84505,0.96471,0.96996,0.97575,0.78725,0.58877,0.84381,0.34079,0.93097,0.000184425,0.000184425,0.000184425
36,6069.13,0.50782,0.74735,0.29904,0.85803,0.97011,0.97186,0.98034,0.85489,0.96764,0.96921,0.97868,0.79878,0.57705,0.84807,0.32753,0.92586,0.000181673,0.000181673,0.000181673
37,6237.51,0.50776,0.74183,0.298,0.8558,0.96871,0.96768,0.97766,0.84926,0.9681,0.96708,0.9767,0.78907,0.58273,0.85668,0.33068,0.93481,0.000178921,0.000178921,0.000178921
38,6406.03,0.50373,0.73767,0.29342,0.8539,0.94551,0.94297,0.95683,0.83472,0.94439,0.94138,0.9553,0.77355,0.56743,0.85072,0.4146,0.92525,0.000176169,0.000176169,0.000176169
39,6574.64,0.49547,0.73221,0.2873,0.85196,0.96801,0.97144,0.97979,0.85222,0.96769,0.97048,0.97787,0.79341,0.58508,0.85614,0.32748,0.92751,0.000173416,0.000173416,0.000173416
40,6742.92,0.49253,0.7308,0.28843,0.85081,0.97149,0.97183,0.97936,0.8496,0.97134,0.97213,0.97941,0.79494,0.58902,0.85805,0.33329,0.93773,0.000170664,0.000170664,0.000170664
41,6912.23,0.48903,0.72298,0.28604,0.84876,0.97255,0.972,0.97828,0.85282,0.97132,0.97085,0.97726,0.79431,0.57614,0.87821,0.32625,0.93329,0.000167912,0.000167912,0.000167912
