epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,582.77,1.16539,0.89519,1.1225,0.73273,0.75421,0.76864,0.49387,1.34192,1.23048,1.21434,0.0006032,0.0006032,0.0006032
43,596.861,1.13636,0.87114,1.1054,0.70671,0.75045,0.74075,0.45749,1.27677,1.2411,1.1603,0.0005984,0.0005984,0.0005984
44,611.049,1.14638,0.87489,1.10816,0.7559,0.68861,0.7405,0.44898,1.30714,1.3184,1.20169,0.0005936,0.0005936,0.0005936
45,625.055,1.13069,0.8616,1.10507,0.82125,0.67165,0.76528,0.47312,1.29269,1.27486,1.17456,0.0005888,0.0005888,0.0005888
46,639.087,1.1094,0.84616,1.09261,0.77528,0.70471,0.75984,0.44862,1.31609,1.22109,1.19449,0.000584,0.000584,0.000584
47,653.013,1.11266,0.84897,1.09584,0.81321,0.70502,0.75977,0.47382,1.28089,1.23948,1.1525,0.0005792,0.0005792,0.0005792
48,667.038,1.09423,0.82437,1.09089,0.84206,0.69632,0.75853,0.46237,1.32911,1.17143,1.18187,0.0005744,0.0005744,0.0005744
49,680.859,1.11824,0.82372,1.09837,0.89417,0.67718,0.77354,0.48864,1.29944,1.17214,1.14912,0.0005696,0.0005696,0.0005696
50,694.819,1.0985,0.8166,1.08407,0.86431,0.71718,0.76182,0.48425,1.25809,1.1872,1.17086,0.0005648,0.0005648,0.0005648
51,708.776,1.08246,0.79636,1.08169,0.76391,0.76385,0.79751,0.49537,1.35095,1.12324,1.20584,0.00056,0.00056,0.00056
52,722.98,1.06799,0.78235,1.07137,0.75389,0.7263,0.7945,0.48544,1.28166,1.07884,1.15307,0.0005552,0.0005552,0.0005552
53,737.085,1.05869,0.7662,1.06165,0.80452,0.71826,0.77014,0.51659,1.24497,1.15954,1.14934,0.0005504,0.0005504,0.0005504
